X,Territorial_Authority,Anzsoc_Division,Total_Victimisations,Price,Total_Population,School_Type,School_Count
6,Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Composite,1
6,Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Contributing,9
6,Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Full Primary,10
6,Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Intermediate,1
6,Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Secondary (Year 7-15),1
6,Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Secondary (Year 9-15),1
7,Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Composite,1
7,Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Contributing,9
7,Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Full Primary,10
7,Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Intermediate,1
7,Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Secondary (Year 7-15),1
7,Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Secondary (Year 9-15),1
8,Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Composite,1
8,Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Contributing,9
8,Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Full Primary,10
8,Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Intermediate,1
8,Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Secondary (Year 7-15),1
8,Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Secondary (Year 9-15),1
9,Ashburton District,Theft and Related Offences,306,532157,36300,Composite,1
9,Ashburton District,Theft and Related Offences,306,532157,36300,Contributing,9
9,Ashburton District,Theft and Related Offences,306,532157,36300,Full Primary,10
9,Ashburton District,Theft and Related Offences,306,532157,36300,Intermediate,1
9,Ashburton District,Theft and Related Offences,306,532157,36300,Secondary (Year 7-15),1
9,Ashburton District,Theft and Related Offences,306,532157,36300,Secondary (Year 9-15),1
10,Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Composite,1
10,Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Contributing,9
10,Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Full Primary,10
10,Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Intermediate,1
10,Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Secondary (Year 7-15),1
10,Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Secondary (Year 9-15),1
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Activity Centre,2
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Composite,40
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Contributing,221
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Full Primary,151
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Intermediate,42
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Restricted Composite (Year 7-10),2
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Secondary (Year 11-15),2
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Secondary (Year 7-10),3
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Secondary (Year 7-15),24
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Secondary (Year 9-15),60
11,Auckland,"Abduction, Harassment and Other Related Offences Against a Person",68,1259185,1695200,Special School,13
