"","Territorial_Authority","Price","Victimisations_Per_10000","School_Per_10000"
"1","Far North District",700402,391,10
"2","Whangarei District",736658,391,5
"3","Kaipara District",818262,217,8
"4","Auckland",1259185,391,3
"5","Thames-Coromandel District",1157623,276,7
"6","Hauraki District",631049,340,10
"7","Hamilton City",800437,644,3
"8","Matamata-Piako District",704001,317,8
"9","Otorohanga District",519134,241,11
"10","South Waikato District",426624,402,8
"11","Taupo District",829769,401,5
"12","Waikato District",726521,274,7
"13","Waipa District",871229,279,6
"14","Waitomo District",398629,305,18
"15","Kawerau District",389679,419,6
"16","Opotiki District",538485,383,12
"17","Rotorua District",638234,629,6
"18","Tauranga City",1017984,404,3
"19","Western Bay of Plenty District",976065,212,4
"20","Whakatane District",728386,409,9
"21","Gisborne District",589585,421,10
"22","Central Hawke's Bay District",588040,158,11
"23","Hastings District",765170,399,7
"24","Napier City",741618,506,5
"25","Wairoa District",417440,350,15
"26","New Plymouth District",714371,250,6
"27","South Taranaki District",437608,333,10
"28","Stratford District",471430,233,13
"29","Horowhenua District",551960,400,6
"30","Manawatu District",612575,268,8
"31","Palmerston North City",637900,541,5
"32","Rangitikei District",431086,220,14
"33","Ruapehu District",369189,321,17
"34","Tararua District",400978,277,10
"35","Whanganui District",499207,427,8
"36","Carterton District",633301,155,6
"37","Lower Hutt City",768115,485,5
"38","Kapiti Coast District",805926,252,3
"39","Porirua City",801428,343,6
"40","Masterton District",557633,396,7
"41","South Wairarapa District",766986,197,7
"42","Upper Hutt City",725534,342,4
"43","Wellington City",1019077,318,4
"44","Marlborough District",682993,232,6
"45","Tasman District",769331,182,6
"46","Nelson City",783897,311,4
"47","Buller District",336345,252,9
"48","Grey District",361677,264,10
"49","Westland District",394958,153,14
"50","Hurunui District",624404,137,9
"51","Kaikoura District",566219,310,12
"52","Christchurch City",730646,549,4
"53","Mackenzie District",750518,117,15
"54","Selwyn District",801054,132,4
"55","Ashburton District",532157,169,6
"56","Timaru District",500787,197,6
"57","Waimakariri District",697534,206,4
"58","Waimate District",442382,159,11
"59","Waitaki District",467713,133,9
"60","Dunedin City",616117,229,6
"61","Central Otago District",788144,103,6
"62","Clutha District",392835,154,13
"63","Queenstown-Lakes District",1670801,175,3
"64","Gore District",395015,215,9
"65","Invercargill City",456153,375,5
"66","Southland District",492354,132,12
