Territorial_Authority,Anzsoc_Division,Total_Victimisations,Price,Total_Population,School_Type,School_Count
Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Composite,1
Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Contributing,9
Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Full Primary,10
Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Intermediate,1
Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Secondary (Year 7-15),1
Ashburton District,Acts Intended to Cause Injury,158,532157,36300,Secondary (Year 9-15),1
Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Composite,1
Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Contributing,9
Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Full Primary,10
Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Intermediate,1
Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Secondary (Year 7-15),1
Ashburton District,"Robbery, Extortion and Related Offences",12,532157,36300,Secondary (Year 9-15),1
Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Composite,1
Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Contributing,9
Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Full Primary,10
Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Intermediate,1
Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Secondary (Year 7-15),1
Ashburton District,Sexual Assault and Related Offences,16,532157,36300,Secondary (Year 9-15),1
Ashburton District,Theft and Related Offences,306,532157,36300,Composite,1
Ashburton District,Theft and Related Offences,306,532157,36300,Contributing,9
Ashburton District,Theft and Related Offences,306,532157,36300,Full Primary,10
Ashburton District,Theft and Related Offences,306,532157,36300,Intermediate,1
Ashburton District,Theft and Related Offences,306,532157,36300,Secondary (Year 7-15),1
Ashburton District,Theft and Related Offences,306,532157,36300,Secondary (Year 9-15),1
Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Composite,1
Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Contributing,9
Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Full Primary,10
Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Intermediate,1
Ashburton District,"Unlawful Entry With Intent/Burglary, Break and Enter",123,532157,36300,Secondary (Year 7-15),1
