"Territorial_Authority","Anzsoc_Division","Total_Victimisations"
"Area Outside Territorial Authority","Acts Intended to Cause Injury",17
"Area Outside Territorial Authority","Robbery, Extortion and Related Offences",2
"Area Outside Territorial Authority","Sexual Assault and Related Offences",2
"Area Outside Territorial Authority","Theft and Related Offences",26
"Area Outside Territorial Authority","Unlawful Entry With Intent/Burglary, Break and Enter",5
"Ashburton District","Acts Intended to Cause Injury",158
"Ashburton District","Robbery, Extortion and Related Offences",12
"Ashburton District","Sexual Assault and Related Offences",16
"Ashburton District","Theft and Related Offences",306
"Ashburton District","Unlawful Entry With Intent/Burglary, Break and Enter",123
"Auckland","Abduction, Harassment and Other Related Offences Against a Person",68
"Auckland","Acts Intended to Cause Injury",11926
"Auckland","Robbery, Extortion and Related Offences",1071
"Auckland","Sexual Assault and Related Offences",883
"Auckland","Theft and Related Offences",41184
"Auckland","Unlawful Entry With Intent/Burglary, Break and Enter",11167
"Buller District","Acts Intended to Cause Injury",67
"Buller District","Robbery, Extortion and Related Offences",1
"Buller District","Sexual Assault and Related Offences",9
"Buller District","Theft and Related Offences",98
"Buller District","Unlawful Entry With Intent/Burglary, Break and Enter",70
"Carterton District","Acts Intended to Cause Injury",47
"Carterton District","Robbery, Extortion and Related Offences",2
"Carterton District","Sexual Assault and Related Offences",3
"Carterton District","Theft and Related Offences",55
"Carterton District","Unlawful Entry With Intent/Burglary, Break and Enter",52
"Central Hawke's Bay District","Acts Intended to Cause Injury",65
"Central Hawke's Bay District","Robbery, Extortion and Related Offences",6
"Central Hawke's Bay District","Sexual Assault and Related Offences",10
"Central Hawke's Bay District","Theft and Related Offences",105
"Central Hawke's Bay District","Unlawful Entry With Intent/Burglary, Break and Enter",66
"Central Otago District","Acts Intended to Cause Injury",106
"Central Otago District","Robbery, Extortion and Related Offences",3
"Central Otago District","Sexual Assault and Related Offences",14
"Central Otago District","Theft and Related Offences",85
"Central Otago District","Unlawful Entry With Intent/Burglary, Break and Enter",55
"Chatham Islands Territory","Acts Intended to Cause Injury",2
"Chatham Islands Territory","Theft and Related Offences",4
"Chatham Islands Territory","Unlawful Entry With Intent/Burglary, Break and Enter",1
"Christchurch City","Abduction, Harassment and Other Related Offences Against a Person",18
"Christchurch City","Acts Intended to Cause Injury",2440
"Christchurch City","Robbery, Extortion and Related Offences",318
"Christchurch City","Sexual Assault and Related Offences",340
"Christchurch City","Theft and Related Offences",14010
"Christchurch City","Unlawful Entry With Intent/Burglary, Break and Enter",4262
"Clutha District","Acts Intended to Cause Injury",110
"Clutha District","Robbery, Extortion and Related Offences",4
"Clutha District","Sexual Assault and Related Offences",14
"Clutha District","Theft and Related Offences",77
"Clutha District","Unlawful Entry With Intent/Burglary, Break and Enter",83
"Dunedin City","Abduction, Harassment and Other Related Offences Against a Person",1
"Dunedin City","Acts Intended to Cause Injury",673
"Dunedin City","Robbery, Extortion and Related Offences",71
"Dunedin City","Sexual Assault and Related Offences",110
"Dunedin City","Theft and Related Offences",1641
"Dunedin City","Unlawful Entry With Intent/Burglary, Break and Enter",488
"Far North District","Abduction, Harassment and Other Related Offences Against a Person",2
"Far North District","Acts Intended to Cause Injury",578
"Far North District","Robbery, Extortion and Related Offences",18
"Far North District","Sexual Assault and Related Offences",73
"Far North District","Theft and Related Offences",1436
"Far North District","Unlawful Entry With Intent/Burglary, Break and Enter",779
"Gisborne District","Abduction, Harassment and Other Related Offences Against a Person",5
"Gisborne District","Acts Intended to Cause Injury",691
"Gisborne District","Robbery, Extortion and Related Offences",33
"Gisborne District","Sexual Assault and Related Offences",50
"Gisborne District","Theft and Related Offences",938
"Gisborne District","Unlawful Entry With Intent/Burglary, Break and Enter",477
"Gore District","Acts Intended to Cause Injury",81
"Gore District","Robbery, Extortion and Related Offences",2
"Gore District","Sexual Assault and Related Offences",14
"Gore District","Theft and Related Offences",110
"Gore District","Unlawful Entry With Intent/Burglary, Break and Enter",72
"Grey District","Acts Intended to Cause Injury",108
"Grey District","Robbery, Extortion and Related Offences",3
"Grey District","Sexual Assault and Related Offences",33
"Grey District","Theft and Related Offences",166
"Grey District","Unlawful Entry With Intent/Burglary, Break and Enter",65
"Hamilton City","Abduction, Harassment and Other Related Offences Against a Person",18
"Hamilton City","Acts Intended to Cause Injury",2260
"Hamilton City","Robbery, Extortion and Related Offences",210
"Hamilton City","Sexual Assault and Related Offences",180
"Hamilton City","Theft and Related Offences",6942
"Hamilton City","Unlawful Entry With Intent/Burglary, Break and Enter",1982
"Hastings District","Abduction, Harassment and Other Related Offences Against a Person",3
"Hastings District","Acts Intended to Cause Injury",1051
"Hastings District","Robbery, Extortion and Related Offences",40
"Hastings District","Sexual Assault and Related Offences",71
"Hastings District","Theft and Related Offences",1723
"Hastings District","Unlawful Entry With Intent/Burglary, Break and Enter",724
"Hauraki District","Acts Intended to Cause Injury",168
"Hauraki District","Robbery, Extortion and Related Offences",13
"Hauraki District","Sexual Assault and Related Offences",13
"Hauraki District","Theft and Related Offences",313
"Hauraki District","Unlawful Entry With Intent/Burglary, Break and Enter",247
"Horowhenua District","Abduction, Harassment and Other Related Offences Against a Person",4
"Horowhenua District","Acts Intended to Cause Injury",401
"Horowhenua District","Robbery, Extortion and Related Offences",18
"Horowhenua District","Sexual Assault and Related Offences",29
"Horowhenua District","Theft and Related Offences",717
"Horowhenua District","Unlawful Entry With Intent/Burglary, Break and Enter",311
"Hurunui District","Acts Intended to Cause Injury",33
"Hurunui District","Robbery, Extortion and Related Offences",3
"Hurunui District","Sexual Assault and Related Offences",10
"Hurunui District","Theft and Related Offences",81
"Hurunui District","Unlawful Entry With Intent/Burglary, Break and Enter",61
"Invercargill City","Abduction, Harassment and Other Related Offences Against a Person",9
"Invercargill City","Acts Intended to Cause Injury",587
"Invercargill City","Robbery, Extortion and Related Offences",24
"Invercargill City","Sexual Assault and Related Offences",48
"Invercargill City","Theft and Related Offences",1014
"Invercargill City","Unlawful Entry With Intent/Burglary, Break and Enter",448
"Kaikoura District","Acts Intended to Cause Injury",26
"Kaikoura District","Robbery, Extortion and Related Offences",1
"Kaikoura District","Sexual Assault and Related Offences",3
"Kaikoura District","Theft and Related Offences",63
"Kaikoura District","Unlawful Entry With Intent/Burglary, Break and Enter",36
"Kaipara District","Abduction, Harassment and Other Related Offences Against a Person",1
"Kaipara District","Acts Intended to Cause Injury",129
"Kaipara District","Robbery, Extortion and Related Offences",9
"Kaipara District","Sexual Assault and Related Offences",15
"Kaipara District","Theft and Related Offences",269
"Kaipara District","Unlawful Entry With Intent/Burglary, Break and Enter",168
"Kapiti Coast District","Abduction, Harassment and Other Related Offences Against a Person",2
"Kapiti Coast District","Acts Intended to Cause Injury",281
"Kapiti Coast District","Robbery, Extortion and Related Offences",25
"Kapiti Coast District","Sexual Assault and Related Offences",24
"Kapiti Coast District","Theft and Related Offences",811
"Kapiti Coast District","Unlawful Entry With Intent/Burglary, Break and Enter",307
"Kawerau District","Acts Intended to Cause Injury",83
"Kawerau District","Robbery, Extortion and Related Offences",2
"Kawerau District","Sexual Assault and Related Offences",10
"Kawerau District","Theft and Related Offences",160
"Kawerau District","Unlawful Entry With Intent/Burglary, Break and Enter",70
"Lower Hutt City","Abduction, Harassment and Other Related Offences Against a Person",4
"Lower Hutt City","Acts Intended to Cause Injury",1121
"Lower Hutt City","Robbery, Extortion and Related Offences",91
"Lower Hutt City","Sexual Assault and Related Offences",72
"Lower Hutt City","Theft and Related Offences",3320
"Lower Hutt City","Unlawful Entry With Intent/Burglary, Break and Enter",848
"Mackenzie District","Acts Intended to Cause Injury",12
"Mackenzie District","Robbery, Extortion and Related Offences",1
"Mackenzie District","Sexual Assault and Related Offences",2
"Mackenzie District","Theft and Related Offences",34
"Mackenzie District","Unlawful Entry With Intent/Burglary, Break and Enter",15
"Manawatu District","Acts Intended to Cause Injury",197
"Manawatu District","Robbery, Extortion and Related Offences",13
"Manawatu District","Sexual Assault and Related Offences",12
"Manawatu District","Theft and Related Offences",514
"Manawatu District","Unlawful Entry With Intent/Burglary, Break and Enter",174
"Marlborough District","Abduction, Harassment and Other Related Offences Against a Person",3
"Marlborough District","Acts Intended to Cause Injury",240
"Marlborough District","Robbery, Extortion and Related Offences",19
"Marlborough District","Sexual Assault and Related Offences",46
"Marlborough District","Theft and Related Offences",631
"Marlborough District","Unlawful Entry With Intent/Burglary, Break and Enter",266
"Masterton District","Acts Intended to Cause Injury",294
"Masterton District","Robbery, Extortion and Related Offences",12
"Masterton District","Sexual Assault and Related Offences",14
"Masterton District","Theft and Related Offences",609
"Masterton District","Unlawful Entry With Intent/Burglary, Break and Enter",219
"Matamata-Piako District","Acts Intended to Cause Injury",211
"Matamata-Piako District","Robbery, Extortion and Related Offences",19
"Matamata-Piako District","Sexual Assault and Related Offences",32
"Matamata-Piako District","Theft and Related Offences",619
"Matamata-Piako District","Unlawful Entry With Intent/Burglary, Break and Enter",296
"Napier City","Abduction, Harassment and Other Related Offences Against a Person",4
"Napier City","Acts Intended to Cause Injury",758
"Napier City","Robbery, Extortion and Related Offences",52
"Napier City","Sexual Assault and Related Offences",52
"Napier City","Theft and Related Offences",1849
"Napier City","Unlawful Entry With Intent/Burglary, Break and Enter",664
"Nelson City","Abduction, Harassment and Other Related Offences Against a Person",6
"Nelson City","Acts Intended to Cause Injury",472
"Nelson City","Robbery, Extortion and Related Offences",24
"Nelson City","Sexual Assault and Related Offences",55
"Nelson City","Theft and Related Offences",887
"Nelson City","Unlawful Entry With Intent/Burglary, Break and Enter",253
"New Plymouth District","Abduction, Harassment and Other Related Offences Against a Person",2
"New Plymouth District","Acts Intended to Cause Injury",631
"New Plymouth District","Robbery, Extortion and Related Offences",45
"New Plymouth District","Sexual Assault and Related Offences",58
"New Plymouth District","Theft and Related Offences",1130
"New Plymouth District","Unlawful Entry With Intent/Burglary, Break and Enter",329
"Opotiki District","Acts Intended to Cause Injury",143
"Opotiki District","Robbery, Extortion and Related Offences",4
"Opotiki District","Sexual Assault and Related Offences",15
"Opotiki District","Theft and Related Offences",126
"Opotiki District","Unlawful Entry With Intent/Burglary, Break and Enter",114
"Otorohanga District","Acts Intended to Cause Injury",81
"Otorohanga District","Robbery, Extortion and Related Offences",2
"Otorohanga District","Sexual Assault and Related Offences",5
"Otorohanga District","Theft and Related Offences",87
"Otorohanga District","Unlawful Entry With Intent/Burglary, Break and Enter",87
"Palmerston North City","Abduction, Harassment and Other Related Offences Against a Person",3
"Palmerston North City","Acts Intended to Cause Injury",840
"Palmerston North City","Robbery, Extortion and Related Offences",40
"Palmerston North City","Sexual Assault and Related Offences",71
"Palmerston North City","Theft and Related Offences",3126
"Palmerston North City","Unlawful Entry With Intent/Burglary, Break and Enter",813
"Porirua City","Acts Intended to Cause Injury",595
"Porirua City","Robbery, Extortion and Related Offences",37
"Porirua City","Sexual Assault and Related Offences",43
"Porirua City","Theft and Related Offences",1021
"Porirua City","Unlawful Entry With Intent/Burglary, Break and Enter",419
"Queenstown-Lakes District","Abduction, Harassment and Other Related Offences Against a Person",1
"Queenstown-Lakes District","Acts Intended to Cause Injury",225
"Queenstown-Lakes District","Robbery, Extortion and Related Offences",14
"Queenstown-Lakes District","Sexual Assault and Related Offences",35
"Queenstown-Lakes District","Theft and Related Offences",499
"Queenstown-Lakes District","Unlawful Entry With Intent/Burglary, Break and Enter",91
"Rangitikei District","Abduction, Harassment and Other Related Offences Against a Person",1
"Rangitikei District","Acts Intended to Cause Injury",91
"Rangitikei District","Robbery, Extortion and Related Offences",4
"Rangitikei District","Sexual Assault and Related Offences",7
"Rangitikei District","Theft and Related Offences",163
"Rangitikei District","Unlawful Entry With Intent/Burglary, Break and Enter",88
"Rotorua District","Abduction, Harassment and Other Related Offences Against a Person",1
"Rotorua District","Acts Intended to Cause Injury",1207
"Rotorua District","Robbery, Extortion and Related Offences",38
"Rotorua District","Sexual Assault and Related Offences",50
"Rotorua District","Theft and Related Offences",2830
"Rotorua District","Unlawful Entry With Intent/Burglary, Break and Enter",701
"Ruapehu District","Abduction, Harassment and Other Related Offences Against a Person",1
"Ruapehu District","Acts Intended to Cause Injury",151
"Ruapehu District","Robbery, Extortion and Related Offences",4
"Ruapehu District","Sexual Assault and Related Offences",15
"Ruapehu District","Theft and Related Offences",139
"Ruapehu District","Unlawful Entry With Intent/Burglary, Break and Enter",107
"Selwyn District","Abduction, Harassment and Other Related Offences Against a Person",1
"Selwyn District","Acts Intended to Cause Injury",217
"Selwyn District","Robbery, Extortion and Related Offences",27
"Selwyn District","Sexual Assault and Related Offences",30
"Selwyn District","Theft and Related Offences",530
"Selwyn District","Unlawful Entry With Intent/Burglary, Break and Enter",242
"South Taranaki District","Abduction, Harassment and Other Related Offences Against a Person",1
"South Taranaki District","Acts Intended to Cause Injury",251
"South Taranaki District","Robbery, Extortion and Related Offences",15
"South Taranaki District","Sexual Assault and Related Offences",20
"South Taranaki District","Theft and Related Offences",448
"South Taranaki District","Unlawful Entry With Intent/Burglary, Break and Enter",252
"South Waikato District","Abduction, Harassment and Other Related Offences Against a Person",2
"South Waikato District","Acts Intended to Cause Injury",279
"South Waikato District","Robbery, Extortion and Related Offences",10
"South Waikato District","Sexual Assault and Related Offences",33
"South Waikato District","Theft and Related Offences",457
"South Waikato District","Unlawful Entry With Intent/Burglary, Break and Enter",261
"South Wairarapa District","Acts Intended to Cause Injury",78
"South Wairarapa District","Robbery, Extortion and Related Offences",2
"South Wairarapa District","Sexual Assault and Related Offences",6
"South Wairarapa District","Theft and Related Offences",99
"South Wairarapa District","Unlawful Entry With Intent/Burglary, Break and Enter",47
"Southland District","Abduction, Harassment and Other Related Offences Against a Person",1
"Southland District","Acts Intended to Cause Injury",104
"Southland District","Robbery, Extortion and Related Offences",4
"Southland District","Sexual Assault and Related Offences",27
"Southland District","Theft and Related Offences",139
"Southland District","Unlawful Entry With Intent/Burglary, Break and Enter",154
"Stratford District","Acts Intended to Cause Injury",48
"Stratford District","Robbery, Extortion and Related Offences",2
"Stratford District","Sexual Assault and Related Offences",8
"Stratford District","Theft and Related Offences",106
"Stratford District","Unlawful Entry With Intent/Burglary, Break and Enter",73
"Tararua District","Abduction, Harassment and Other Related Offences Against a Person",1
"Tararua District","Acts Intended to Cause Injury",139
"Tararua District","Robbery, Extortion and Related Offences",8
"Tararua District","Sexual Assault and Related Offences",20
"Tararua District","Theft and Related Offences",236
"Tararua District","Unlawful Entry With Intent/Burglary, Break and Enter",123
"Tasman District","Abduction, Harassment and Other Related Offences Against a Person",3
"Tasman District","Acts Intended to Cause Injury",237
"Tasman District","Robbery, Extortion and Related Offences",20
"Tasman District","Sexual Assault and Related Offences",34
"Tasman District","Theft and Related Offences",565
"Tasman District","Unlawful Entry With Intent/Burglary, Break and Enter",208
"Taupo District","Abduction, Harassment and Other Related Offences Against a Person",3
"Taupo District","Acts Intended to Cause Injury",384
"Taupo District","Robbery, Extortion and Related Offences",22
"Taupo District","Sexual Assault and Related Offences",45
"Taupo District","Theft and Related Offences",908
"Taupo District","Unlawful Entry With Intent/Burglary, Break and Enter",300
"Tauranga City","Abduction, Harassment and Other Related Offences Against a Person",6
"Tauranga City","Acts Intended to Cause Injury",1214
"Tauranga City","Robbery, Extortion and Related Offences",74
"Tauranga City","Sexual Assault and Related Offences",141
"Tauranga City","Theft and Related Offences",3956
"Tauranga City","Unlawful Entry With Intent/Burglary, Break and Enter",1002
"Thames-Coromandel District","Acts Intended to Cause Injury",213
"Thames-Coromandel District","Robbery, Extortion and Related Offences",16
"Thames-Coromandel District","Sexual Assault and Related Offences",19
"Thames-Coromandel District","Theft and Related Offences",434
"Thames-Coromandel District","Unlawful Entry With Intent/Burglary, Break and Enter",247
"Timaru District","Abduction, Harassment and Other Related Offences Against a Person",2
"Timaru District","Acts Intended to Cause Injury",221
"Timaru District","Robbery, Extortion and Related Offences",8
"Timaru District","Sexual Assault and Related Offences",37
"Timaru District","Theft and Related Offences",485
"Timaru District","Unlawful Entry With Intent/Burglary, Break and Enter",201
